
Label ID,Power Trace (Volts),Subkey,Attack/Normal
1,2484.97,Idle,Normal
2,2206.72,Active,Attack
3,2490.41,Idle,Normal
4,2796.23,Idle,Normal
5,2701.58,Active,Attack
6,2106.96,Idle,Normal
7,2374.87,Idle,Attack
8,2158.1,Idle,Normal
9,2481.8,Idle,Attack
10,2033.62,Idle,Normal
11,2082.76,Active,Attack
12,2204.11,Active,Normal
13,2307.31,Idle,Normal
14,2469.9,Idle,Attack
15,2059.95,Idle,Normal
16,2278.97,Active,Normal
17,2371.25,Active,Attack
18,2558.03,Idle,Normal
19,2191.41,Active,Normal
20,2521.16,Idle,Attack
21,2551.5,Active,Normal
22,2080.31,Idle,Attack
23,2553.55,Idle,Normal
24,2478.37,Active,Normal
25,2706.14,Idle,Normal
26,2415.81,Idle,Normal
27,2530.89,Active,Normal
28,2431.38,Active,Attack
29,2172.81,Idle,Normal
30,2747.66,Idle,Normal
31,2190.57,Active,Normal
32,2447.7,Idle,Normal
33,2678.05,Active,Attack
34,2642.59,Idle,Normal
35,2143.45,Active,Normal
36,2124.43,Idle,Normal
37,2673.94,Active,Normal
38,2627.76,Active,Normal
39,2383.41,Active,Attack
40,2756.46,Idle,Normal
41,2586.94,Idle,Normal
42,2561.87,Active,Normal
43,2199.01,Active,Attack
44,2088.16,Active,Normal
45,2706.58,Idle,Normal
46,2198.37,Active,Attack
47,2198.03,Active,Normal
48,2310.45,Idle,Normal
49,2592.48,Idle,Normal
50,2666.25,Idle,Attack
51,2125.49,Idle,Normal
52,2422.32,Idle,Normal
53,2685.04,Active,Normal
54,2278.86,Idle,Normal
55,2013.11,Idle,Normal
56,2276.94,Active,Attack
57,2193.47,Idle,Normal
58,2515.57,Idle,Normal
59,2620.21,Idle,Normal
60,2089.42,Active,Attack
61,2341.38,Idle,Normal
62,2437.5,Active,Normal
63,2352.9,Active,Normal
64,2673.48,Idle,Attack
65,2401.14,Idle,Normal
66,2294.93,Idle,Normal
67,2735.88,Active,Normal
68,2201.63,Idle,Normal
69,2025.81,Active,Normal
70,2735.37,Active,Normal
71,2113.8,Idle,Normal
72,2451.81,Idle,Normal
73,2687.1,Idle,Normal
74,2738.58,Idle,Normal
75,2096.34,Idle,Normal
76,2717.27,Active,Normal
77,2625.46,Idle,Normal
78,2054.96,Idle,Normal
79,2221.97,Active,Normal
80,2449.31,Active,Normal
81,2008.04,Idle,Normal
82,2500.96,Active,Attack
83,2517.22,Active,Normal
84,2613.89,Idle,Normal
85,2670.68,Active,Normal
86,2282.12,Idle,Attack
87,2699.85,Idle,Normal
88,2187.73,Idle,Normal
89,2302.18,Idle,Attack
90,2205.92,Idle,Normal
91,2034.58,Idle,Normal
92,2740.21,Idle,Attack
93,2342.22,Idle,Normal
94,2163.97,Idle,Normal
95,2110.49,Active,Normal
96,2485.59,Active,Attack
97,2664.97,Active,Normal
98,2030.28,Idle,Normal
99,2772.35,Idle,Normal
100,2159.0,Active,Normal
101,2717.6,Idle,Normal
102,2470.44,Active,Normal
103,2251.43,Active,Attack
104,2431.48,Idle,Normal
105,2337.09,Active,Normal
106,2798.49,Idle,Normal
107,2696.17,Idle,Normal
108,2217.41,Idle,Normal
109,2506.47,Active,Attack
110,2544.28,Idle,Normal
111,2473.08,Active,Normal
112,2739.1,Idle,Normal
113,2175.25,Active,Attack
114,2566.31,Idle,Normal
115,2092.85,Idle,Normal
116,2087.08,Idle,Attack
117,2794.38,Idle,Normal
118,2139.05,Idle,Attack
119,2258.88,Idle,Normal
120,2691.87,Idle,Normal
121,2695.76,Active,Normal
122,2188.14,Idle,Normal
123,2611.54,Active,Attack
124,2473.22,Idle,Normal
125,2202.21,Active,Normal
126,2388.32,Idle,Normal
127,2682.99,Active,Normal
128,2381.59,Idle,Normal
129,2568.66,Active,Normal
130,2540.43,Idle,Normal
131,2629.57,Active,Normal
132,2542.02,Active,Normal
133,2124.07,Active,Normal
134,2590.38,Active,Attack
135,2629.25,Active,Normal
136,2540.87,Active,Normal
137,2344.63,Idle,Normal
138,2559.59,Active,Normal
139,2100.48,Active,Normal
140,2374.32,Idle,Normal
141,2321.92,Active,Normal
142,2783.97,Active,Normal
143,2299.89,Idle,Normal
144,2114.63,Idle,Normal
145,2039.71,Idle,Normal
146,2666.44,Idle,Normal
147,2791.2,Active,Normal
148,2345.55,Idle,Normal
149,2415.29,Idle,Normal
150,2341.46,Idle,Normal
151,2384.52,Idle,Normal
152,2492.54,Active,Normal
153,2325.73,Active,Normal
154,2572.1,Idle,Normal
155,2502.93,Active,Normal
156,2579.69,Active,Normal
157,2209.51,Active,Normal
158,2357.78,Idle,Normal
159,2432.56,Active,Normal
160,2326.62,Idle,Normal
161,2295.99,Idle,Normal
162,2503.66,Active,Normal
163,2367.08,Active,Normal
164,2375.34,Idle,Normal
165,2014.72,Idle,Normal
166,2299.23,Active,Normal
167,2786.95,Idle,Normal
168,2595.34,Idle,Normal
169,2488.06,Idle,Normal
170,2125.44,Active,Normal
171,2163.67,Active,Normal
172,2688.62,Active,Normal
173,2597.44,Idle,Normal
174,2781.01,Idle,Normal
175,2022.9,Active,Normal
176,2795.73,Active,Attack
177,2030.16,Idle,Normal
178,2385.86,Idle,Normal
179,2199.0,Active,Attack
180,2464.71,Idle,Normal
181,2549.2,Idle,Normal
182,2763.1,Active,Normal
183,2391.83,Idle,Attack
184,2469.97,Idle,Normal
185,2704.33,Active,Normal
186,2604.59,Active,Normal
187,2678.82,Active,Attack
188,2631.39,Active,Normal
189,2641.48,Active,Attack
190,2200.24,Idle,Normal
191,2621.13,Active,Normal
192,2129.59,Active,Attack
193,2594.12,Active,Normal
194,2179.73,Active,Attack
195,2346.25,Active,Normal
196,2788.13,Idle,Normal
197,2768.4,Active,Normal
198,2502.55,Active,Normal
199,2763.72,Active,Attack
200,2532.65,Idle,Normal
